data,hora,taxa
2023/04/18,20:42:10,13.466204436005485
2023/04/18,20:42:12,13.776032101674643
2023/04/18,20:42:14,13.482223116080851
2023/04/18,20:42:16,13.406655433600974
2023/04/18,20:42:18,13.173256888684467
2023/04/18,20:42:20,14.099922362836754
2023/04/18,20:42:22,13.886727254656828
2023/04/18,20:42:25,13.340533002959937
2023/04/18,20:42:27,13.190273430928826
2023/04/18,20:42:29,13.839653700273887
2023/04/18,20:54:39,13.23625461621099
2023/04/18,20:54:41,14.06361552405464
2023/04/18,20:54:44,14.051523543733735
2023/04/18,20:54:45,14.100587863398337
2023/04/18,20:54:48,14.128830969568416
2023/04/18,20:54:50,13.542355694679255
2023/04/18,20:54:52,13.540797037498903
2023/04/18,20:54:55,13.722031481932795
2023/04/18,20:54:56,13.735159847989792
2023/04/18,20:54:59,13.183707386731468
